"Note: All codes are participants perceptions. That means e.g. ""only exceptional hackers can get into account"" means that this was what participants believed, not what was actually the case.",,,,,
First Level Folders,First Level Codes,Second Level Folders/codes,Third Level Folders/codes,Forth Level Codes,Description
Attacker,,,,,
Attacker,gender of attacker,,,,What is the gender of the attacker 
Attacker,no accountability of attackers,,,,there is negligible or no accoutability of attackers 
Attacker,only exceptional hackers can get into account,,,,Only Pro hackers can hack accounts
Attacker,skilled hackers,,,,Some hackers are professional and highly skilled
Audience,,,,,
Audience,Across border audience,,,,CC's have audience from other countries 
Audience,age,,,,Age of audience 
Audience,audience differs between platforms,,,,Audience is different on different social media platforms
Audience,audience with higher IQ [+attention span],,,,Audience has higher IQ and good attention span
Audience,content centered audience,,,,The audience that follows you due to certain type of content 
Audience,gender,,,,Gender of audience 
Audience,illiteracy,,,,Audience is illiterate 
Audience,literacy,,,,Audience is literate
Collaborations,,,,,General involvement in content collaborations.
Collaborations,[paid-c] brands,,,,Collaborations with paid brand partnerships.
Collaborations,[unpaid-c] friends/ people in circle,,,,Collaborations with friends or individuals within one's social circle without monetary compensation.
Collaborations,avoiding brands with negative connotations,,,,Conscious avoidance of collaborating with brands associated with negative attributes.
Collaborations,does not collaborate,,,,Lack of participation in content collaborations.
Collaborations,experiences with collaborators,,,,Insights into the experiences with collaboration partners.
Collaborations,less sponsors due to no presence of oneself publically,,,,Fewer sponsorship opportunities due to limited public presence/ self appearance on platform.
Collaborations,other content creators,,,,Collaborations involving other content creators in the field.
Content Creation Habit/Strategy,,,,,
Content Creation Habit/Strategy,adapting to changes in content creation,,,,Adapting to changes in content creation.
Content Creation Habit/Strategy,careful about what to post,,,,Being careful about what to post.
Content Creation Habit/Strategy,careful about when to post,,,,Being careful about when to post.
Content Creation Habit/Strategy,challenge,,,,What is challenging in content creation.
Content Creation Habit/Strategy,controversial content as way to build reach,,,,Using controversial content as a strategy to expand reach.
Content Creation Habit/Strategy,creating own strategy towards posting,,,,Developing a personal strategy for posting content.
Content Creation Habit/Strategy,different content for different platforms,,,,Creating different content tailored for various platforms.
Content Creation Habit/Strategy,doesn't strive for reach or engagement,,,,Not actively seeking reach or engagement.
Content Creation Habit/Strategy,following trends,,,,Staying up-to-date by following current trends.
Content Creation Habit/Strategy,frequency of posting,,,,Considering the frequency of content posting.
Content Creation Habit/Strategy,full-time commitment,,,,Making content creation a full-time commitment.
Content Creation Habit/Strategy,how content creation evolved,,,,Reflecting on how content creation has evolved over time.
Content Creation Habit/Strategy,interactive with audience,,,,Maintaining interactive engagement with the audience.
Content Creation Habit/Strategy,multiple account on same platform for revenue,,,,Managing multiple accounts on the same platform for revenue.
Content Creation Habit/Strategy,part-time,,,,Engaging in content creation part-time.
Content Creation Habit/Strategy,posting for social good,,,,Posting content for social good or a cause.
Content Creation Habit/Strategy,posting more videos than pictures to get reach,,,,Prioritizing video content over images to increase reach.
Content Creation Habit/Strategy,posting quality content for reach,,,,Focusing on high-quality content for reach.
Content Creation Habit/Strategy,posting regularly,,,,Consistently posting content.
Content Creation Habit/Strategy,posting stories,,,,Utilizing stories as part of content strategy.
Content Creation Habit/Strategy,private account for personal use,,,,Maintaining a private account for personal use.
Content Creation Habit/Strategy,using content creation to build career,,,,Leveraging content creation as a career-building tool.
Content Creation Habit/Strategy,using efficient hashtags,,,,Using efficient hashtags to enhance content visibility.
Content Creation Habit/Strategy,using popular platforms more,,,,Preferring popular platforms for content sharing.
Content Creation Habit/Strategy,using Reels,,,,Utilizing Reels as a content creation feature.
Content Type/ Topics,,,,,
Content Type/ Topics,_avoided content,,,,Topics or content types actively avoided.
Content Type/ Topics,_picture,,,,Content in the form of images or photos.
Content Type/ Topics,_video,,,,Content in the form of videos.
Content Type/ Topics,art,,,,Creative expressions in various forms.
Content Type/ Topics,body positivity,,,,Content promoting a positive body image.
Content Type/ Topics,comedy content,,,,Humorous and entertaining content.
Content Type/ Topics,controversial topics,,,,Content discussing controversial subjects.
Content Type/ Topics,culture,,,,Content related to cultural aspects.
Content Type/ Topics,dance,,,,Content featuring dance performances.
Content Type/ Topics,education,,,,Informative content focused on teaching or learning.
Content Type/ Topics,family,,,,Content related to familial relationships.
Content Type/ Topics,fashion,,,,Content related to clothing and style.
Content Type/ Topics,fitness,,,,Content related to physical health and exercise.
Content Type/ Topics,food,,,,"Culinary-related content, often about cooking or dining."
Content Type/ Topics,gossip,,,,Content centered around rumors and hot news.
Content Type/ Topics,human rights,,,,Content addressing issues of human rights.
Content Type/ Topics,influencer,,,,Content related to the lifestyle of social media influencers.
Content Type/ Topics,lifestyle,,,,Content discussing personal choices and habits.
Content Type/ Topics,long-form content,,,,Lengthy and detailed content pieces.
Content Type/ Topics,mafia groups,,,,Content related to organized crime groups.
Content Type/ Topics,make-up,,,,Content featuring cosmetics and beauty tips.
Content Type/ Topics,music,,,,Content related to musical performances or compositions.
Content Type/ Topics,neutral content,,,,Unbiased and impartial content.
Content Type/ Topics,photography,,,,Content focusing on photographic art.
Content Type/ Topics,poetry,,,,Creative content in the form of poems.
Content Type/ Topics,politics,,,,Content discussing political matters.
Content Type/ Topics,posting about pets,,,,"Content related to animals, particularly pets."
Content Type/ Topics,powerful people,,,,Content about influential individuals.
Content Type/ Topics,private life,,,,Content about personal and private matters.
Content Type/ Topics,relationships,,,,Content discussing interpersonal relationships.
Content Type/ Topics,religion,,,,Content related to religious beliefs and practices.
Content Type/ Topics,sensitive content in news,,,,Content addressing sensitive news topics.
Content Type/ Topics,sex/sexuality,,,,Content related to sexual topics and sexuality.
Content Type/ Topics,short-form content,,,,Brief and concise content pieces.
Content Type/ Topics,singing,,,,Content featuring vocal performances and singing.
Content Type/ Topics,social issues/activism,,,,Content focused on societal problems and activism.
Content Type/ Topics,story telling,,,,Narrative-based content that tells a story.
Content Type/ Topics,travel,,,,Content related to traveling and exploring new places.
Content Type/ Topics,v-logging,,,,Video-based content that documents personal experiences or daily life.
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
Ideal World,,,,,
Ideal World,cannot imagine wolrd without harassment,,,,Envisioning a world free from harassment.
Ideal World,enables free speach,,,,Upholding the freedom to express oneself.
Ideal World,good mental health,,,,Promoting mental well-being for all.
Ideal World,ideal world can be created by ignoring hate,,,,Believing that eliminating hatred can create an ideal world.
Ideal World,more people would create content,,,,Encouraging widespread content creation.
Ideal World,more support and kindness,,,,Fostering a culture of support and kindness.
Ideal World,no judgement,,,,Eliminating judgment and prejudice.
Ideal World,no safety concerns,,,,Ensuring safety and security for all.
Ideal World,not as much scrutiny/room to make mistakes,,,,Reducing the scrutiny and allowing room for errors.
Ideal World,provide ability to post anything you want,,,,Offering unrestricted posting freedom.
Ideal World,world without hate would limit growth,,,,Acknowledging the potential limitations in a hate-free world.
Management,,,,,
Management,friends/colleagues,,,,Involvement of friends or colleagues in management.
Management,looked for traits of potential manager,,,,Seeking characteristics in potential managers.
Management,management,,,,General management practices.
Management,manager for finance/collabs,,,,Management roles related to finance or collaborations.
Management,no mangement,,,,Absence of any management.
Management,sharing credentials,,,,Sharing login credentials for management purposes
Mitigation Practices,,,,,
Mitigation Practices,_effective strategy,,,,Effective strategies for threat mitigation.
Mitigation Practices,_not effective strategy,,,,Strategies that are not effective in mitigating threats.
Mitigation Practices,_not sure how to mitigate threat/concern,,,,Uncertainty regarding how to mitigate specific threats or concerns.
Mitigation Practices,_STR not used,,,,"Strategies not explicitly defined with ""STR"" (strategy)."
Mitigation Practices,defensive mechanisms,,,,
,,technical,,,
,,technical,authentication,,
,,technical,authentication,google authenticator,Utilizing Google Authenticator for account security.
,,technical,authentication,STR_2FA,Implementing Two-Factor Authentication (2FA) for extra protection.
,,technical,authentication,STR_adding phone number of relative as backup,Adding a relative's phone number as a backup contact.
,,technical,authentication,STR_changing PW regularly,Regularly changing passwords as a security measure.
,,technical,authentication,STR_checking login activity,Monitoring login activity for suspicious access.
,,technical,authentication,STR_different PWs across platforms,Maintaining different passwords across various online platforms.
,,technical,authentication,STR_no credential sharing,Avoiding sharing login credentials.
,,technical,authentication,STR_turn on login notifications,Enabling login notifications for account activity.
,,technical,authentication,STR_unique PW,Using unique passwords.
,,technical,authentication,STR_use PW Manager,Employing a Password Manager for password management.
,,technical,authentication,STR_using strong pw,Using strong passwords.
,,technical,community management,,
,,technical,community management,STR_blocking people,Blocking specific individuals to manage interactions.
,,technical,community management,STR_comment management,Managing and moderating comments on content.
,,technical,community management,STR_group action,Taking group action to address specific issues.
,,technical,community management,STR_not allowing spam accounts to follow,Not allowing spam accounts to follow or interact.
,,technical,community management,STR_not letting everyone tag you in post,Restricting who can tag you in posts to control tagging.
,,technical,community management,STR_reporting,Reporting inappropriate or harmful content and users.
,,technical,community management,STR_restricting content access,Restricting access to your content for select individuals.
,,technical,community management,STR_restricting who can send message,Controlling who can send messages to maintain privacy.
,,technical,community management,STR_turning off story replies,Turning off story replies to limit interaction.
,,technical,content protection,,
,,technical,content protection,STR_back-up accounts,Creating backup accounts to safeguard content.
,,technical,content protection,STR_using private accounts,Using private accounts for enhanced privacy.
,,technical,content protection,using watermark,Applying watermarks to protect content from unauthorized use.
,,technical,digital wellbeing,,
,,technical,digital wellbeing,STR_restricting online active time,estricting online active time to balance screen time and life.
,,technical,STR_ avoid shady emails/phising links,,Being cautious to avoid suspicious emails and phishing links.
,,technical,STR_avoid mistrusted devices,,Not using or trusting devices that are considered untrustworthy.
Mitigation Practices,defensive mechanisms,data hygene,,,
Mitigation Practices,defensive mechanisms,data hygene,STR_hiding identity,,Hiding one's identity to protect privacy.
Mitigation Practices,defensive mechanisms,data hygene,STR_not giving out address to collaborators,,Not sharing their address with collaborators.
Mitigation Practices,defensive mechanisms,data hygene,STR_not posting about daily activities,,Avoiding posting daily activities.
Mitigation Practices,defensive mechanisms,data hygene,STR_not posting about family,,Avoiding sharing information about family.
Mitigation Practices,defensive mechanisms,data hygene,STR_not posting any personal information,,Avoiding sharing personal information.
Mitigation Practices,defensive mechanisms,data hygene,STR_not posting location,,Not posting their location.
Mitigation Practices,defensive mechanisms,data hygene,STR_not sharing means of transport,,Not sharing means of transport.
Mitigation Practices,defensive mechanisms,data hygene,STR_not sharing their address,,Keeping their address private.
Mitigation Practices,defensive mechanisms,self censorship,,,
Mitigation Practices,defensive mechanisms,self censorship,STR_avoid platform,,Avoiding certain platforms.
Mitigation Practices,defensive mechanisms,self censorship,STR_avoid talking about religion,,Avoiding discussions about religion.
Mitigation Practices,defensive mechanisms,self censorship,STR_being careful about what to post,,Being cautious about what to post.
Mitigation Practices,defensive mechanisms,self censorship,STR_being on good terms with everyone,,Maintaining good relationships with others.
Mitigation Practices,defensive mechanisms,self censorship,STR_Change content,,Changing content to avoid negative experiences.
Mitigation Practices,defensive mechanisms,self censorship,STR_changing one's own behavior,,Adjusting behavior to maintain reputation.
Mitigation Practices,defensive mechanisms,self censorship,STR_moderating actions to maintain reputation,,Changing personal actions to aintain a positive reputation.
Mitigation Practices,defensive mechanisms,self censorship,STR_not sharing opinion,,Not sharing personal opinions.
Mitigation Practices,defensive mechanisms,self censorship,STR_self censorship,,Doing self cencorship in anyway to avoid negative experiences.
